| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| :- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 01 | T+003s (T-297s) | 22:05:03 | 19.9 sh (Bt 10.9) @ $0.43 | 8.9 sh (Bt 8.9) @ $0.54 | $0.971 (97¢) | 1.0s (Instant) | Dried up in 1s | +$0.029 (+3.0%) |
| 02 | T+004s (T-296s) | 22:05:04 | 46.0 sh (Bt 11.0) @ $0.44 | 8.9 sh (Bt 8.9) @ $0.54 | $0.985 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.015 (+1.5%) |
| 03 | T+004s (T-296s) | 22:05:04 | 19.9 sh (Bt 9.0) @ $0.43 | 8.9 sh (Bt 8.9) @ $0.54 | $0.974 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.026 (+2.7%) |
| 04 | T+004s (T-296s) | 22:05:04 | 14.4 sh (Bt 9.4) @ $0.42 | 8.9 sh (Bt 8.9) @ $0.54 | $0.955 (96¢) | 0ms (Instant) | Dried up in 0ms | +$0.045 (+4.7%) |
| 05 | T+004s (T-296s) | 22:05:04 | 14.4 sh (Bt 5.0) @ $0.41 | 8.9 sh (Bt 8.9) @ $0.54 | $0.950 (95¢) | 0ms (Instant) | Dried up in 0ms | +$0.050 (+5.3%) |
| 06 | T+004s (T-296s) | 22:05:04 | 46.0 sh (Bt 35.0) @ $0.45 | 8.9 sh (Bt 8.9) @ $0.54 | $0.991 (99¢) | 0ms (Instant) | Dried up in 11s | +$0.009 (+0.9%) |
| 07 | T+004s (T-296s) | 22:05:04 | 10.6 sh (Bt 10.6) @ $0.40 | 8.9 sh (Bt 8.9) @ $0.54 | $0.936 (94¢) | 0ms (Instant) | Dried up in 0ms | +$0.064 (+6.8%) |
| 08 | T+004s (T-296s) | 22:05:04 | 5.0 sh (Bt 5.0) @ $0.38 | 8.9 sh (Bt 8.9) @ $0.54 | $0.920 (92¢) | 0ms (Instant) | Dried up in 0ms | +$0.080 (+8.7%) |
| 09 | T+006s (T-294s) | 22:05:06 | 25.1 sh (Bt 2.1) @ $0.48 | 12.1 sh (Bt 10.1) @ $0.50 | $0.981 (98¢) | 1.0s (Instant) | Dried up in 16s | +$0.019 (+1.9%) |
